match_id,date,competition,club,opponent,player_id,player,role,position,minutes,started,result,goals,assists,xg,xa,shots,passes,completed_passes,progressive_passes,final_third_entries,pressures,recoveries,interceptions,tackles,carries,progressive_carries,risk_passes,reward_passes
3829432,2015-08-16,Ligue 1,Paris Saint-Germain,Gazélec Ajaccio,3481,Serge Aurier,DEF,Right Back,94.03,1,W,0.0,0.0,0.2238,0,1.0,76.0,62.0,4.0,5.0,24.0,4.0,5.0,6.0,59.0,6.0,2.0,4.0
3829432,2015-08-16,Ligue 1,Paris Saint-Germain,Gazélec Ajaccio,3745,Lucas Rodrigues Moura da Silva,FWD,Left Wing,94.03,1,W,0.0,0.0,0.222,0.3437,4.0,51.0,43.0,7.0,3.0,6.0,7.0,1.0,0,48.0,8.0,7.0,10.0
3829432,2015-08-16,Ligue 1,Paris Saint-Germain,Gazélec Ajaccio,3956,David Luiz Moreira Marinho,DEF,Left Center Back,94.03,1,W,0.0,0.0,0.2073,0.0807,3.0,93.0,89.0,10.0,1.0,4.0,4.0,1.0,1.0,75.0,3.0,2.0,11.0
3829432,2015-08-16,Ligue 1,Paris Saint-Germain,Gazélec Ajaccio,4319,Edinson Roberto Cavani Gómez,FWD,Center Forward,94.03,1,W,0.0,0.0,0.173,0.0684,3.0,16.0,13.0,1.0,1.0,6.0,0,0,0,10.0,1.0,1.0,2.0
3829432,2015-08-16,Ligue 1,Paris Saint-Germain,Gazélec Ajaccio,4325,Thiago Motta,MID,Center Defensive Midfield,75.13,1,W,0.0,1.0,0.019,0.104,1.0,107.0,98.0,17.0,10.0,10.0,3.0,0,1.0,70.0,1.0,8.0,18.0
3829432,2015-08-16,Ligue 1,Paris Saint-Germain,Gazélec Ajaccio,4370,Javier Matías Pastore,FWD,Right Wing,25.0,0,W,0.0,0.0,0.056,0.0466,1.0,23.0,17.0,9.0,3.0,2.0,1.0,0,0,20.0,0.0,6.0,10.0
3829432,2015-08-16,Ligue 1,Paris Saint-Germain,Gazélec Ajaccio,4375,Blaise Matuidi,MID,Left Center Midfield,69.57,1,W,1.0,0.0,0.0606,0,1.0,60.0,55.0,12.0,3.0,8.0,4.0,0,1.0,56.0,0.0,2.0,12.0
3829432,2015-08-16,Ligue 1,Paris Saint-Germain,Gazélec Ajaccio,4440,Kevin Trapp,GK,Goalkeeper,94.03,1,W,0,0.0,0,0,0,24.0,23.0,0.0,0.0,0,5.0,0,0,13.0,0.0,0.0,0.0
3829432,2015-08-16,Ligue 1,Paris Saint-Germain,Gazélec Ajaccio,8510,Jean-Kévin Augustin,FWD,Right Wing,69.03,1,W,0.0,0.0,0.1305,0,2.0,13.0,13.0,0.0,0.0,14.0,2.0,2.0,1.0,14.0,0.0,0.0,0.0
3829432,2015-08-16,Ligue 1,Paris Saint-Germain,Gazélec Ajaccio,8515,Benjamin Stambouli,MID,Center Defensive Midfield,18.9,0,W,0,0.0,0,0,0,16.0,15.0,1.0,2.0,10.0,3.0,0,1.0,12.0,0.0,0.0,1.0
3829432,2015-08-16,Ligue 1,Paris Saint-Germain,Gazélec Ajaccio,26613,Maxwell Scherrer Cabelino Andrade,DEF,Left Back,94.03,1,W,0,0.0,0,0.0746,0,82.0,72.0,5.0,3.0,3.0,2.0,2.0,1.0,62.0,1.0,3.0,6.0
3829432,2015-08-16,Ligue 1,Paris Saint-Germain,Gazélec Ajaccio,351521,Ezequiel Iván Lavezzi,MID,Left Center Midfield,24.47,0,W,0,0.0,0,0,0,10.0,7.0,0.0,0.0,4.0,1.0,0,0,6.0,3.0,0.0,0.0
3829433,2015-08-21,Ligue 1,Paris Saint-Germain,Montpellier,3026,Adrien Rabiot,MID,Right Center Midfield,84.05,0,W,0.0,0.0,0.0502,0,1.0,70.0,63.0,4.0,4.0,22.0,8.0,1.0,3.0,72.0,1.0,1.0,4.0
3829433,2015-08-21,Ligue 1,Paris Saint-Germain,Montpellier,3295,Thiago Emiliano da Silva,DEF,Right Center Back,93.23,1,W,0,0.0,0,0.0354,0,79.0,74.0,14.0,4.0,9.0,1.0,5.0,1.0,65.0,0.0,3.0,14.0
3829433,2015-08-21,Ligue 1,Paris Saint-Germain,Montpellier,3481,Serge Aurier,DEF,Right Back,93.23,1,W,0.0,0.0,0.0089,0,1.0,70.0,60.0,8.0,3.0,21.0,7.0,1.0,4.0,50.0,1.0,5.0,8.0
3829433,2015-08-21,Ligue 1,Paris Saint-Germain,Montpellier,3745,Lucas Rodrigues Moura da Silva,FWD,Right Wing,80.93,1,W,0,0.0,0,0.3794,0,57.0,46.0,6.0,6.0,7.0,3.0,0,2.0,59.0,6.0,9.0,6.0
3829433,2015-08-21,Ligue 1,Paris Saint-Germain,Montpellier,3956,David Luiz Moreira Marinho,DEF,Left Center Back,93.23,1,W,0.0,0.0,0.0483,0,1.0,80.0,71.0,7.0,2.0,9.0,4.0,2.0,0,70.0,0.0,1.0,7.0
3829433,2015-08-21,Ligue 1,Paris Saint-Germain,Montpellier,4319,Edinson Roberto Cavani Gómez,FWD,Center Forward,93.23,1,W,0.0,0.0,0.1204,0,3.0,22.0,17.0,0.0,1.0,12.0,2.0,2.0,0,20.0,0.0,1.0,0.0
3829433,2015-08-21,Ligue 1,Paris Saint-Germain,Montpellier,4325,Thiago Motta,MID,Center Defensive Midfield,93.23,1,W,0,0.0,0,0,0,119.0,106.0,15.0,8.0,22.0,4.0,1.0,8.0,100.0,0.0,4.0,15.0
3829433,2015-08-21,Ligue 1,Paris Saint-Germain,Montpellier,4370,Javier Matías Pastore,MID,Right Center Midfield,9.18,1,W,0,0.0,0,0,0,9.0,7.0,2.0,2.0,0,2.0,0,0,8.0,1.0,0.0,2.0
3829433,2015-08-21,Ligue 1,Paris Saint-Germain,Montpellier,4375,Blaise Matuidi,MID,Left Center Midfield,93.23,1,W,1.0,0.0,0.1012,0.0502,1.0,80.0,75.0,8.0,5.0,21.0,4.0,2.0,0,83.0,4.0,3.0,9.0
3829433,2015-08-21,Ligue 1,Paris Saint-Germain,Montpellier,4440,Kevin Trapp,GK,Goalkeeper,93.23,1,W,0,0.0,0,0,0,38.0,33.0,3.0,0.0,0,3.0,0,0,22.0,0.0,0.0,3.0
3829433,2015-08-21,Ligue 1,Paris Saint-Germain,Montpellier,8510,Jean-Kévin Augustin,FWD,Left Wing,24.43,0,W,0.0,0.0,0.3705,0,1.0,5.0,5.0,0.0,0.0,9.0,0,0,0,10.0,1.0,0.0,0.0
3829433,2015-08-21,Ligue 1,Paris Saint-Germain,Montpellier,8515,Benjamin Stambouli,FWD,Right Wing,12.3,0,W,0,0.0,0,0,0,5.0,3.0,1.0,1.0,3.0,0,0,0,6.0,1.0,0.0,1.0
3829433,2015-08-21,Ligue 1,Paris Saint-Germain,Montpellier,26613,Maxwell Scherrer Cabelino Andrade,DEF,Left Back,93.23,1,W,0,1.0,0,0.1683,0,72.0,63.0,6.0,3.0,5.0,4.0,0,1.0,57.0,3.0,6.0,8.0
3829433,2015-08-21,Ligue 1,Paris Saint-Germain,Montpellier,351521,Ezequiel Iván Lavezzi,FWD,Left Wing,68.8,1,W,0.0,0.0,0.0665,0.018,1.0,27.0,23.0,2.0,1.0,9.0,2.0,0,2.0,35.0,0.0,3.0,3.0
3890273,2015-08-22,Bundesliga,Bayer Leverkusen,Hannover 96,5494,Robbie Kruse,MID,Center Attacking Midfield,19.52,0,W,0,0.0,0,0,0,5.0,3.0,0.0,0.0,7.0,0,0,0,5.0,0.0,0.0,0.0
3890273,2015-08-22,Bundesliga,Bayer Leverkusen,Hannover 96,5555,Julian Brandt,FWD,Left Wing,61.07,1,W,0.0,0.0,0.1835,0,1.0,26.0,21.0,3.0,1.0,9.0,1.0,1.0,0,29.0,2.0,2.0,3.0
