sample_player,second,x_m,y_m,distance_step_m
Sample player 3,134.0,-25.45,-5.4,2.33
Sample player 1,134.0,-25.71,-21.07,8.74
Sample player 6,136.0,6.73,-5.33,19.13
Sample player 2,136.0,4.04,2.1,16.33
Sample player 4,136.0,5.63,-21.67,24.37
Sample player 1,136.0,-21.44,-20.9,4.27
Sample player 6,138.0,10.89,-5.97,4.21
Sample player 5,138.0,8.82,-13.15,22.91
Sample player 2,138.0,10.18,1.72,6.15
Sample player 4,138.0,10.79,-20.4,5.31
Sample player 6,140.0,17.16,-2.6,7.12
Sample player 5,140.0,18.3,-8.52,10.55
Sample player 2,140.0,17.97,5.37,8.6
Sample player 4,140.0,18.69,-13.02,10.81
Sample player 6,142.0,25.42,3.69,10.38
Sample player 5,142.0,28.96,-0.81,13.16
Sample player 2,142.0,27.98,8.27,10.42
Sample player 4,142.0,27.87,-7.76,10.58
Sample player 6,144.0,38.45,3.48,13.03
Sample player 5,144.0,42.77,-0.13,13.83
Sample player 2,144.0,40.62,7.81,12.65
Sample player 4,144.0,39.1,-5.11,11.54
Sample player 6,146.0,46.38,0.0,8.66
Sample player 5,146.0,45.6,0.17,2.85
Sample player 2,146.0,45.7,6.46,5.26
Sample player 4,146.0,48.51,-2.88,9.67
Sample player 6,148.0,48.87,2.94,3.85
Sample player 5,148.0,46.56,1.54,1.67
Sample player 2,148.0,49.12,13.42,7.75
Sample player 4,148.0,50.32,-2.44,1.86
Sample player 6,150.0,45.37,6.37,4.9
Sample player 5,150.0,44.38,1.58,2.18
Sample player 2,150.0,47.4,18.28,5.16
Sample player 4,150.0,45.95,-4.82,4.98
Sample player 3,150.0,22.99,4.54,49.45
Sample player 6,152.0,41.52,4.7,4.2
Sample player 5,152.0,40.95,-0.03,3.79
Sample player 2,152.0,40.76,16.81,6.8
Sample player 4,152.0,41.57,-4.95,4.38
Sample player 3,152.0,26.73,7.72,4.91
Sample player 6,154.0,41.28,4.54,0.29
Sample player 5,154.0,40.38,-0.28,0.62
Sample player 2,154.0,39.99,13.96,2.95
Sample player 4,154.0,40.98,-4.81,0.61
Sample player 3,154.0,26.61,10.34,2.62
Sample player 6,156.0,39.89,6.65,2.53
Sample player 5,156.0,37.95,0.16,2.47
Sample player 2,156.0,38.97,14.52,1.16
Sample player 4,156.0,38.84,-5.06,2.15
Sample player 3,156.0,24.64,15.15,5.2
Sample player 6,158.0,37.51,8.53,3.03
