match_id,date,club,player_id,player,role,x_bin,y_bin,passes,completed,progressive,risk,reward,xa
3825637,2015-10-25,Barcelona,5246,Luis Alberto Suárez Díaz,FWD,3,3,3,2,1,2,1,0.0
3825637,2015-10-25,Barcelona,10609,Jérémy Mathieu,DEF,3,1,2,2,0,0,0,0.0
3825637,2015-10-25,Barcelona,6616,Munir El Haddadi Mohamed,FWD,4,3,3,2,0,0,0,0.0
3825637,2015-10-25,Barcelona,5470,Ivan Rakitić,MID,4,3,4,3,2,0,2,0.0
3825637,2015-10-25,Barcelona,4324,Daniel Alves da Silva,DEF,5,2,2,0,0,1,0,0.0
3825637,2015-10-25,Barcelona,10609,Jérémy Mathieu,DEF,1,0,5,4,0,0,0,0.0
3825637,2015-10-25,Barcelona,5246,Luis Alberto Suárez Díaz,FWD,3,0,1,0,0,0,0,0.0
3825637,2015-10-25,Barcelona,5203,Sergio Busquets i Burgos,MID,4,2,1,1,0,0,0,0.0
3825637,2015-10-25,Barcelona,6616,Munir El Haddadi Mohamed,FWD,4,2,1,1,0,0,0,0.0
3825637,2015-10-25,Barcelona,5213,Gerard Piqué Bernabéu,DEF,2,1,1,1,0,0,0,0.0
3825637,2015-10-25,Barcelona,5506,Javier Alejandro Mascherano,MID,0,0,2,0,0,0,0,0.0
3825637,2015-10-25,Barcelona,6616,Munir El Haddadi Mohamed,FWD,3,3,4,3,1,0,1,0.0
3825637,2015-10-25,Barcelona,10609,Jérémy Mathieu,DEF,3,0,2,2,1,0,1,0.0
3825637,2015-10-25,Barcelona,5470,Ivan Rakitić,MID,5,3,2,2,0,0,0,0.0
3825637,2015-10-25,Barcelona,5506,Javier Alejandro Mascherano,MID,2,3,1,1,0,0,0,0.0
3825637,2015-10-25,Barcelona,10609,Jérémy Mathieu,DEF,1,2,1,1,0,0,0,0.0
3825637,2015-10-25,Barcelona,10609,Jérémy Mathieu,DEF,5,0,1,0,0,0,0,0.0
3825637,2015-10-25,Barcelona,5213,Gerard Piqué Bernabéu,DEF,0,0,1,1,0,0,0,0.0
3825637,2015-10-25,Barcelona,6616,Munir El Haddadi Mohamed,FWD,3,2,1,0,0,0,0,0.0
3825637,2015-10-25,Barcelona,5246,Luis Alberto Suárez Díaz,FWD,2,3,1,1,0,0,0,0.0
3825637,2015-10-25,Barcelona,5203,Sergio Busquets i Burgos,MID,2,3,1,1,1,0,1,0.0
3825637,2015-10-25,Barcelona,5213,Gerard Piqué Bernabéu,DEF,4,3,1,0,0,0,0,0.0
3825637,2015-10-25,Barcelona,5470,Ivan Rakitić,MID,1,0,1,1,0,0,0,0.0
3825637,2015-10-25,Barcelona,10609,Jérémy Mathieu,DEF,2,2,1,1,0,0,0,0.0
3825637,2015-10-25,Barcelona,4320,Neymar da Silva Santos Junior,FWD,4,2,1,1,1,1,1,0.06703627
3825637,2015-10-25,Barcelona,6616,Munir El Haddadi Mohamed,FWD,2,3,1,1,0,0,0,0.0
3825637,2015-10-25,Barcelona,5246,Luis Alberto Suárez Díaz,FWD,5,3,1,1,0,0,0,0.0
3825637,2015-10-25,Barcelona,4691,Claudio Andrés Bravo Muñoz,GK,0,0,1,0,0,0,0,0.0
3825637,2015-10-25,Barcelona,6616,Munir El Haddadi Mohamed,FWD,5,0,2,2,0,0,0,0.0
3825637,2015-10-25,Barcelona,5470,Ivan Rakitić,MID,4,0,1,1,0,0,0,0.0
3825637,2015-10-25,Barcelona,4324,Daniel Alves da Silva,DEF,4,1,1,1,1,1,1,0.0
3825637,2015-10-25,Barcelona,5470,Ivan Rakitić,MID,3,1,1,1,0,0,0,0.0
3825637,2015-10-25,Barcelona,10609,Jérémy Mathieu,DEF,1,1,1,1,0,0,0,0.0
3825637,2015-10-25,Barcelona,5470,Ivan Rakitić,MID,1,2,1,1,0,0,0,0.0
3825637,2015-10-25,Barcelona,10609,Jérémy Mathieu,DEF,0,0,1,1,0,0,0,0.0
3825617,2015-10-03,Barcelona,5246,Luis Alberto Suárez Díaz,FWD,3,2,4,4,0,0,0,0.0
3825617,2015-10-03,Barcelona,4320,Neymar da Silva Santos Junior,FWD,2,1,2,2,0,0,0,0.0
3825617,2015-10-03,Barcelona,6379,Sergi Roberto Carnicer,DEF,1,3,8,4,1,0,1,0.0
3825617,2015-10-03,Barcelona,5213,Gerard Piqué Bernabéu,DEF,1,2,10,7,0,0,0,0.0
3825617,2015-10-03,Barcelona,10609,Jérémy Mathieu,DEF,1,1,5,5,0,0,0,0.0
3825617,2015-10-03,Barcelona,5211,Jordi Alba Ramos,DEF,1,0,7,4,0,0,0,0.0
3825617,2015-10-03,Barcelona,5211,Jordi Alba Ramos,DEF,0,0,2,0,0,0,0,0.0
3825617,2015-10-03,Barcelona,4691,Claudio Andrés Bravo Muñoz,GK,0,1,19,15,0,0,0,0.0
3825617,2015-10-03,Barcelona,10609,Jérémy Mathieu,DEF,0,1,1,1,0,0,0,0.0
3825617,2015-10-03,Barcelona,5211,Jordi Alba Ramos,DEF,2,0,14,12,2,0,2,0.0
3825617,2015-10-03,Barcelona,4320,Neymar da Silva Santos Junior,FWD,3,0,4,4,0,0,0,0.0
3825617,2015-10-03,Barcelona,5203,Sergio Busquets i Burgos,MID,2,0,5,4,0,0,0,0.0
3825617,2015-10-03,Barcelona,5506,Javier Alejandro Mascherano,MID,2,1,9,9,5,0,5,0.0
3825617,2015-10-03,Barcelona,5470,Ivan Rakitić,MID,3,2,8,8,2,1,2,0.0
